MaxDensityIndex MaxDensityDiff MaxIndex Max SumIndex Sum V1 V2 V3 V4 V5 V6 V7 V8
42832 75 25 21295 0.002305 13970.5 0.04191 refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed 9908_bed chrX 165109333 165114333 MSL3:NM_010832 0 -
42831 16 34 21628 0.002368 6108 0.022972 refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed 9908_bed chrX 165012664 165017664 FRMPD4:NM_001033330 0 -
42822 56 6 19711 0.002187 10109 0.03343 refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed 9908_bed chrX 162876256 162881256 TRAPPC2:NM_025432 0 +
42817 38 12 22228.5 0.002369 10286.5 0.0338 refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed 9908_bed chrX 161416023 161421023 FANCB:NM_001146081:NM_175027 0 +
42816 58 8 22228.5 0.002369 10111 0.033434 refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed 9908_bed chrX 161415766 161420766 MOSPD2:NM_029730 0 -
42809 53 3 20773.5 0.002195 5935.5 0.022573 refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed 9908_bed chrX 160574773 160579773 ACE2:NM_001130513:NM_027286 0 +
42800 25 25 19711 0.002187 11479 0.036457 refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed 9908_bed chrX 159336991 159341991 CTPS2:NM_001168568:NM_018737:NM_001168571:NM_001168569:NR_033143 0 +
42795 81 31 20635.5 0.00219 15144 0.044373 refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed 9908_bed chrX 158595221 158600221 NHS:NM_001081052 0 -
42790 5 45 19711 0.002187 8631 0.029887 refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed 9908_bed chrX 157203444 157208444 RS1:NM_011302 0 +
42784 100 50 19711 0.002187 12782 0.03923 refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed 9908_bed chrX 156062839 156067839 SH3KBP1:NM_001135727:NM_021389:NM_001135728 0 +
