MaxDensityIndex MaxDensityDiff MaxIndex Max SumIndex Sum V1 V2 V3 V4 V5 V6 V7 V8
42522 56 6 24443.5 0.002551 18375 0.05099 refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed 9908_bed chrX 102313234 102318234 MAGEE1:NM_053201 0 +
42439 55 5 24443.5 0.002551 15620.5 0.045429 refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed 9908_bed chrX 93149797 93154797 LAS1L:NM_152822 0 -
42391 5 45 24443.5 0.002551 7293 0.026313 refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed 9908_bed chrX 76760123 76765123 RP23-377G5.1:NM_001099307 0 -
42332 64 14 24443.5 0.002551 22185.5 0.059476 refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed 9908_bed chrX 71123672 71128672 L1CAM:NM_008478 0 -
42330 39 11 24443.5 0.002551 19847 0.054131 refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed 9908_bed chrX 71029866 71034866 SSR4:NM_001166480:NM_009279 0 +
42223 65 15 24443.5 0.002551 9150.5 0.031197 refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed 9908_bed chrX 54659830 54664830 GM364:NM_001128625 0 +
42190 50 0 24443.5 0.002551 13764.5 0.041411 refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed 9908_bed chrX 50404730 50409730 MMU-MIR-503:NR_030275 0 -
42171 98 48 24443.5 0.002551 18957 0.052191 refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed 9908_bed chrX 49323448 49328448 1700080O16RIK:NM_028851 0 -
42078 75 25 24443.5 0.002551 10798.5 0.034946 refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed 9908_bed chrX 34411860 34416860 UBE2A:NM_019668 0 +
42075 37 13 24443.5 0.002551 10550 0.034456 refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed 9908_bed chrX 34281153 34286153 SLC25A43:NM_001085497 0 +
41975 85 35 24443.5 0.002551 13808 0.041499 refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed 9908_bed chrX 20263118 20268118 PCTK1:NM_011049 0 +
41928 77 27 24443.5 0.002551 7441 0.026733 refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed 9908_bed chrX 8925224 8930224 1700012L04RIK:NM_001085537 0 +
41916 55 5 24443.5 0.002551 9435.5 0.031886 refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed 9908_bed chrX 8323055 8328055 SSX9:NM_199063 0 +
41908 100 50 24443.5 0.002551 11130 0.035668 refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed 9908_bed chrX 7846017 7851017 SLC38A5:NM_172479 0 +
42278 69 19 24935.5 0.002552 12307 0.038181 refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed 9908_bed chrX 67796232 67801232 AL672026.2:NM_001081476 0 +
41808 40 10 24935.5 0.002552 19477.5 0.053319 refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed 9908_bed chr9 122712164 122717164 D9ERTD402E:NM_001013405 0 +
