MaxDensityIndex MaxDensityDiff MaxIndex Max SumIndex Sum V1 V2 V3 V4 V5 V6 V7 V8
42837 26.5 23.5 10683.5 0.00164 11496 0.036497 refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed 9908_bed chrX 166215066 166220066 4933400A11RIK:NR_003635 0 -
42835 85 35 10683.5 0.00164 9810 0.032731 refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed 9908_bed chrX 165755774 165760774 HCCS:NM_008222 0 -
42833 59 9 12809 0.001821 14539 0.043146 refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed 9908_bed chrX 165230530 165235530 ARHGAP6:NM_009707:NM_178754 0 +
42830 44 6 13637 0.001822 5887.5 0.022415 refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed 9908_bed chrX 163818130 163823130 PRPS2:NM_026662 0 -
42827 22 28 13637 0.001822 9672.5 0.032437 refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed 9908_bed chrX 163644649 163649649 TMSB4X:NM_021278 0 -
42826 38 12 13637 0.001822 7556 0.027042 refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed 9908_bed chrX 163505801 163510801 AL671993.3:NM_001101606 0 -
42825 9 41 10683.5 0.00164 15253 0.044574 refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed 9908_bed chrX 163021147 163026147 EGFL6:NM_019397 0 -
42824 8 42 13637 0.001822 13575 0.041025 refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed 9908_bed chrX 162945909 162950909 TCEANC:NM_001007577 0 -
42819 49 1 10683.5 0.00164 8931 0.030609 refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed 9908_bed chrX 162605911 162610911 GEMIN8:NM_146238 0 +
42814 14 36 13637 0.001822 5900 0.022457 refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed 9908_bed chrX 160873532 160878532 ASB11:NM_026853 0 +
42811 44 6 10683.5 0.00164 13318 0.040389 refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed 9908_bed chrX 160704868 160709868 PIR:NM_027153 0 +
42808 90 40 10683.5 0.00164 8643 0.029912 refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed 9908_bed chrX 160525618 160530618 TMEM27:NM_020626 0 +
42794 9.5 40.5 13637 0.001822 10908 0.035176 refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed 9908_bed chrX 158152467 158157467 RAI2:NM_001103367:NM_198409 0 +
42788 33 17 13637 0.001822 10819 0.034972 refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed 9908_bed chrX 156938121 156943121 PHKA2:NM_172783 0 +
42779 33.5 16.5 10683.5 0.00164 11578 0.036694 refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed 9908_bed chrX 154478541 154483541 CNKSR2:NM_177751 0 -
42778 28 22 12627 0.001807 18750 0.051747 refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed 9908_bed chrX 154253866 154258866 KLHL34:NM_001081667 0 +
42776 85 35 13637 0.001822 12631 0.038947 refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed 9908_bed chrX 154034146 154039146 MBTPS2:NM_172307:NM_001098723 0 -
42769 51 1 12777 0.00182 6317 0.023653 refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed 9908_bed chrX 151579891 151584891 1700042B14RIK:NM_001081671 0 -
42759 64.5 14.5 10683.5 0.00164 1204.5 0.006558 refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed 9908_bed chrX 150552727 150557727 NM_030036:NM_030036 0 -
42749 52 2 14550.5 0.001823 10193.5 0.033627 refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed 9908_bed chrX 149572000 149577000 RRAGB:NM_001004154 0 +
42747 52 2 10683.5 0.00164 6086 0.022899 refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed 9908_bed chrX 149469605 149474605 MAGEH1:NM_023788 0 -
42742 100 50 13637 0.001822 15099 0.044287 refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed 9908_bed chrX 148774526 148779526 TSPYL2:NM_029836 0 -
42736 100 50 13637 0.001822 5062.5 0.019912 refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed 9908_bed chrX 148345256 148350256 MMU-MIR-98:NR_029753 0 +
42733 47 3 13637 0.001822 8835 0.030405 refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed 9908_bed chrX 147952714 147957714 PHF8:NM_177201:NM_001113354 0 +
42732 63 13 11416.5 0.001641 12497 0.038619 refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed 9908_bed chrX 147776265 147781265 FAM120C:NM_198105 0 +
42729 68 18 13637 0.001822 13669.5 0.041233 refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed 9908_bed chrX 147479275 147484275 FGD1:NM_008001 0 +
42728 40 10 14550.5 0.001823 6158 0.023126 refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed 9908_bed chrX 147449364 147454364 GNL3L:NM_001168600:NM_198110 0 -
42724 71 21 14847.5 0.001827 9623 0.032358 refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed 9908_bed chrX 147021963 147026963 PFKFB1:NM_008824 0 +
42723 92 42 13637 0.001822 5910 0.022499 refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed 9908_bed chrX 147020191 147025191 APEX2:NM_029943 0 -
