MaxDensityIndex MaxDensityDiff MaxIndex Max SumIndex Sum V1 V2 V3 V4 V5 V6 V7 V8
42821 42 8 18920 0.002186 9918 0.032993 refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed 9908_bed chrX 162876135 162881135 OFD1:NM_177429 0 -
42791 64 14 17266.5 0.002005 7092 0.025852 refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed 9908_bed chrX 157430112 157435112 CDKL5:NM_001024624 0 -
42782 34 16 18754 0.002183 11630 0.036784 refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed 9908_bed chrX 155850009 155855009 MTAP7D2:NM_001081124 0 +
42741 88 38 15648 0.001996 17395.5 0.048959 refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed 9908_bed chrX 148665272 148670272 KDM5C:NM_013668 0 +
42737 25 25 16462 0.002004 20968 0.056599 refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed 9908_bed chrX 148433938 148438938 HSD17B10:NM_016763 0 +
42722 98 48 16462 0.002004 5636 0.021665 refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed 9908_bed chrX 146979459 146984459 ALAS2:NM_009653:NM_001102446 0 +
42661 89 39 18754 0.002183 12103.5 0.037836 refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed 9908_bed chrX 136314391 136319391 RIPPLY1:NM_001037915 0 -
42622 90 40 18920 0.002186 16511.5 0.047166 refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed 9908_bed chrX 132274730 132279730 GPRASP1:NM_026081:NM_001005385:NM_001004359 0 +
42621 90 40 18920 0.002186 16511.5 0.047166 refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed 9908_bed chrX 132274730 132279730 ARMCX5:NM_001009575 0 +
42620 22 28 15520.5 0.001936 8733 0.030172 refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed 9908_bed chrX 132252711 132257711 TMSB15A:NM_030106 0 -
42608 3 47 17498.5 0.002006 7491 0.026871 refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed 9908_bed chrX 131541247 131546247 ZMAT1:NM_175446 0 -
42589 45 5 15652.5 0.001997 16885.5 0.047941 refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed 9908_bed chrX 130591387 130596387 CSTF2:NM_133196 0 +
42547 45 5 18642 0.002179 5186 0.020297 refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed 9908_bed chrX 105009410 105014410 FAM46D:NM_001163104 0 +
42483 99 49 16462 0.002004 14216 0.042427 refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed 9908_bed chrX 99042223 99047223 NHSL2:NM_001163610 0 +
42478 10 40 16462 0.002004 10772 0.034861 refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed 9908_bed chrX 98622489 98627489 NONO:NM_023144 0 +
42466 34 16 16462 0.002004 16909 0.047983 refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed 9908_bed chrX 97922685 97927685 GDPD2:NM_023608 0 +
42461 64 14 17824.5 0.002018 16934 0.048031 refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed 9908_bed chrX 97765085 97770085 AWAT1:NM_001081136 0 +
42460 89 39 16462 0.002004 9150.5 0.031197 refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed 9908_bed chrX 97717676 97722676 DGAT2L6:NM_001114084 0 +
42398 65 15 18754 0.002183 11012 0.035373 refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed 9908_bed chrX 83019657 83024657 GYK:NM_008194:NM_212444 0 -
42396 19 31 16462 0.002004 5905.5 0.022472 refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed 9908_bed chrX 82492515 82497515 1600014K23RIK:NM_028046 0 +
42373 52 2 16462 0.002004 8417.5 0.029306 refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed 9908_bed chrX 72757135 72762135 VBP1:NM_011692 0 +
42351 19 31 15631.5 0.001992 16600 0.047344 refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed 9908_bed chrX 71547850 71552850 GDI1:NM_010273 0 +
42331 69.5 19.5 16462 0.002004 16483 0.047115 refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed 9908_bed chrX 71067807 71072807 PDZD4:NM_001029868 0 -
42327 22 28 15241.5 0.001892 22452.5 0.060085 refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed 9908_bed chrX 70999941 71004941 PLXNB3:NM_019587 0 +
42325 77 27 18325.5 0.00212 25430 0.067493 refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed 9908_bed chrX 70959013 70964013 BCAP31:NM_012060 0 -
42321 45 5 17266.5 0.002005 21934.5 0.05888 refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed 9908_bed chrX 70745924 70750924 ATP2B3:NM_177236 0 +
42311 29 21 17498.5 0.002006 2951 0.013349 refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed 9908_bed chrX 70457203 70462203 XLR4B:NM_021365 0 +
42303 62 12 16462 0.002004 15577 0.045344 refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed 9908_bed chrX 70307625 70312625 PNMA3:NM_153169 0 +
42301 97 47 18920 0.002186 17378 0.048921 refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed 9908_bed chrX 70230177 70235177 ZFP185:NM_001109043:NM_009549 0 +
42297 90 40 16462 0.002004 12775.5 0.039217 refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed 9908_bed chrX 70068274 70073274 GABRQ:NM_020488 0 +
42294 51 1 17266.5 0.002005 13471 0.040783 refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed 9908_bed chrX 69629696 69634696 MAGEA10:NM_001085506 0 -
42282 11 39 16462 0.002004 13084.5 0.039915 refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed 9908_bed chrX 68743319 68748319 CD99L2:NM_138309 0 -
42275 99.5 49.5 16462 0.002004 14502 0.043064 refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed 9908_bed chrX 67636587 67641587 1110012L19RIK:NM_026787 0 +
42272 5 45 17266.5 0.002005 10031 0.033264 refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed 9908_bed chrX 66611005 66616005 AFF2:NM_008032 0 +
