chr1,6750048,6751477,1430,832,12,136.57,54.61,0.00
chr1,7386975,7388869,1895,924,35,475.75,136.53,0.00
chr1,13563579,13564650,1072,784,17,232.77,109.22,0.00
chr1,13638071,13638779,709,157,8,109.32,68.26,0.00
chr1,21544642,21545308,667,359,8,111.64,54.61,0.00
chr1,21819885,21820395,511,334,8,132.27,68.26,0.00
chr1,24618257,24623124,4868,2395,5214,3100.00,4054.80,0.00
chr1,30929759,30931454,1696,1256,13,127.33,68.26,0.00
chr1,33338411,33339627,1217,298,17,223.07,122.87,0.00
chr1,34528775,34530197,1423,476,10,109.22,40.96,0.00
chr1,35709796,35710673,878,304,8,101.20,40.96,0.00
chr1,35870066,35870945,880,636,18,265.61,136.53,0.00
chr1,36185833,36186433,601,196,8,115.62,68.26,0.00
chr1,36320701,36321503,803,530,13,168.23,95.57,0.00
chr1,36823082,36824510,1429,808,15,180.34,68.26,0.00
chr1,36841395,36842667,1273,542,9,100.58,54.61,0.00
chr1,36853588,36854819,1232,398,16,206.12,68.26,0.00
chr1,37603386,37604440,1055,422,19,268.06,136.53,0.00
chr1,37642590,37643315,726,322,13,191.02,95.57,0.00
chr1,38714174,38715183,1010,563,12,155.58,109.22,0.00
chr1,38750841,38751923,1083,483,13,167.24,95.57,0.00
chr1,38752456,38753650,1195,576,13,146.36,81.92,0.00
chr1,39770452,39771704,1253,448,12,143.77,54.61,0.00
chr1,39791050,39791970,921,177,11,144.79,68.26,0.00
chr1,39792636,39793950,1315,697,11,112.83,54.61,0.00
chr1,39952184,39953315,1132,493,10,119.72,54.61,0.00
chr1,39993179,39993716,538,196,15,239.40,136.53,0.00
chr1,40319499,40320509,1011,302,16,220.38,81.92,0.00
chr1,43431678,43432956,1279,600,12,142.65,81.92,0.00
chr1,52170246,52170992,747,407,10,139.02,81.92,0.00
chr1,52634992,52636119,1128,376,12,149.52,68.26,0.00
chr1,53847652,53849353,1702,710,22,273.93,136.53,0.00
chr1,53907803,53908676,874,413,15,213.67,95.57,0.00
chr1,54185761,54186765,1005,276,16,204.16,122.87,0.00
chr1,54804450,54805349,900,278,11,145.96,54.61,0.00
chr1,54969743,54971104,1362,747,16,198.91,95.57,0.00
chr1,55266911,55267781,871,293,10,131.86,95.57,0.00
chr1,55272203,55272999,797,326,12,168.64,109.22,0.00
chr1,55568561,55569673,1113,924,9,106.18,54.61,0.00
chr1,55585254,55585971,718,530,10,140.87,109.22,0.00
chr1,58708966,58710292,1327,196,15,185.33,68.26,0.00
chr1,58858525,58859841,1317,968,17,217.05,81.92,0.00
chr1,60855613,60856050,438,125,7,115.68,81.92,0.00
chr1,64971863,64972982,1120,596,10,120.22,81.92,0.00
chr1,65024978,65025317,340,171,5,115.68,68.26,0.00
chr1,65224836,65226793,1958,266,30,386.94,150.18,0.00
chr1,72271838,72272743,906,635,9,114.82,81.92,0.00
chr1,72280355,72281146,792,199,10,136.29,95.57,0.00
chr1,72289787,72291452,1666,1121,21,260.25,81.92,0.00
chr1,72300825,72302628,1804,1079,18,207.78,109.22,0.00
